Geneid	C45_22_2L_1Aligned.out.bam	C45_22_2L_2Aligned.out.bam	C45_22_2L_3Aligned.out.bam	WT_2g_5Aligned.out.bam	WT_2g_6Aligned.out.bam	WT_2g_7Aligned.out.bam
CopciAB_504341.T0	0	0	0	0	0	0
CopciAB_445524.T0	31	25	26	23	26	46
CopciAB_522649.T0	8	15	19	5	7	3
CopciAB_1000018.T0	0	0	0	0	0	0
CopciAB_1000021.T0	178	196	129	307	140	101
CopciAB_1000022.T0	676	799	839	658	385	578
CopciAB_483239.T0	0	5	0	3	0	4
CopciAB_1000024.T0	16	1	6	2	3	6
CopciAB_507296.T0	0	0	0	0	1	2
CopciAB_507305.T0	5	4	2	1	0	6
CopciAB_372038.T0	49	24	48	60	30	23
CopciAB_1000029.T0	55	22	47	35	46	21
CopciAB_470942.T0	32	46	63	49	11	27
CopciAB_482849.T0	1	7	2	0	0	0
CopciAB_1000035.T0	88	116	79	115	62	78
CopciAB_380146.T0	0	1	1	2	0	0
CopciAB_438924.T0	8	0	0	1	6	5
CopciAB_544130.T0	2330	2019	1774	3647	3654	1473
CopciAB_360934.T0	25	31	23	23	18	14
CopciAB_1000042.T0	38	98	58	114	120	87
CopciAB_441837.T0	185	272	146	122	72	74
CopciAB_495181.T0	3	0	3	0	1	2
CopciAB_485818.T0	6	6	2	36	14	19
CopciAB_391352.T0	72	120	50	67	57	83
CopciAB_1000052.T0	20	15	22	19	15	8
CopciAB_1000053.T0	267	274	265	181	82	97
CopciAB_1000057.T0	13	15	19	14	38	24
CopciAB_454426.T0	0	0	0	0	0	0
CopciAB_325559.T0	0	0	0	0	0	0
CopciAB_495126.T0	0	0	0	0	0	0
CopciAB_465572.T0	0	0	0	0	0	0
CopciAB_383790.T0	0	0	0	0	0	0
CopciAB_380236.T0	0	0	0	0	0	0
CopciAB_1000071.T0	0	0	0	0	0	0
CopciAB_380229.T0	0	0	0	0	0	0
CopciAB_1000074.T0	0	0	0	0	0	0
CopciAB_1002203.T0	0	0	0	0	0	0
CopciAB_1002606.T0	0	0	0	0	0	0
CopciAB_459947.T0	0	0	0	0	0	0
CopciAB_1000080.T0	0	0	0	0	0	0
CopciAB_1001215.T0	0	0	0	0	0	0
CopciAB_1001675.T0	0	0	0	0	0	0
CopciAB_1001916.T0	0	0	0	0	0	0
CopciAB_501940.T0	6907	9240	8687	7559	4136	5910
CopciAB_378517.T0	28	21	33	46	21	40
CopciAB_1000086.T0	0	0	0	0	0	0
CopciAB_501445.T0	1565	1433	1358	2665	1864	1082
CopciAB_377260.T0	3575	2827	2943	7961	7903	6059
CopciAB_471662.T0	805	858	718	688	659	596
CopciAB_367404.T0	25	40	19	50	20	35
CopciAB_1000097.T0	45	70	55	56	28	54
CopciAB_367371.T0	2	8	14	11	5	3
CopciAB_1000109.T0	0	0	0	0	0	0
CopciAB_1000290.T0	0	0	0	0	0	0
CopciAB_105265.T0	3315	3185	3550	11678	9838	8517
CopciAB_449304.T0	1	3	1	0	2	2
CopciAB_449315.T0	1953	1910	1631	2320	1758	1365
CopciAB_1000117.T0	48	54	56	30	36	42
CopciAB_1000122.T0	11	8	7	1	12	4
CopciAB_254962.T0	3662	3013	2987	5240	4463	3176
CopciAB_1000128.T0	201	259	234	131	57	305
CopciAB_1000131.T0	300	351	241	393	286	195
CopciAB_352336.T0	419	455	517	395	553	268
CopciAB_357231.T0	2415	4084	1782	2802	1855	1851
CopciAB_498185.T0	1779	1521	1308	1637	1483	830
CopciAB_1000156.T0	0	2	0	1	0	3
CopciAB_1002701.T0	2	0	0	0	0	1
CopciAB_1002713.T0	0	0	0	0	0	0
CopciAB_1000157.T0	0	0	0	0	0	0
CopciAB_454546.T0	52	64	96	76	73	43
CopciAB_1000165.T0	22	7	34	32	17	14
CopciAB_416427.T0	542	604	578	806	515	511
CopciAB_1000166.T0	8	17	20	13	5	12
CopciAB_1000180.T0	40	65	50	35	10	25
CopciAB_383013.T0	0	0	0	1	0	0
CopciAB_1000184.T0	0	0	0	0	0	0
CopciAB_1000185.T0	0	0	0	0	0	0
CopciAB_1000200.T0	0	0	0	0	0	0
CopciAB_1000202.T0	0	0	0	0	0	0
CopciAB_1000204.T0	0	0	0	0	0	0
CopciAB_1000206.T0	5	3	6	3	0	0
CopciAB_1000207.T0	1	0	0	0	0	0
CopciAB_1000212.T0	13	30	10	29	33	12
CopciAB_1000214.T0	63	21	58	90	100	103
CopciAB_372523.T0	40	26	40	336	103	277
CopciAB_372515.T0	256	373	374	244	211	128
CopciAB_1000226.T0	37	15	37	46	6	20
CopciAB_1000231.T0	44	44	20	72	36	26
CopciAB_377956.T0	14	32	41	93	83	98
CopciAB_377945.T0	1127	1164	1124	1336	975	670
CopciAB_1000232.T0	17	14	14	8	18	5
CopciAB_450531.T0	14	31	13	34	7	13
CopciAB_1000240.T0	26	21	34	27	9	24
CopciAB_196846.T0	30	18	62	29	25	18
CopciAB_1000248.T0	41	66	38	34	38	38
CopciAB_377795.T0	0	0	0	0	0	0
CopciAB_512542.T0	18	23	9	18	8	11
CopciAB_490242.T0	43	50	19	11	4	11
CopciAB_273049.T0	160	181	130	113	99	50
CopciAB_488280.T0	0	3	3	3	1	3
CopciAB_479113.T0	84	72	113	53	29	37
CopciAB_459315.T0	2	3	6	0	0	1
CopciAB_379606.T0	0	0	4	0	0	0
CopciAB_434216.T0	23	1	9	5	2	2
CopciAB_446153.T0	0	0	2	6	1	0
CopciAB_341862.T0	0	0	0	0	0	0
